name,salary_from,salary_to,salary_currency,area_name,published_at
Программист на Clarion,,,,Москва,2006-05-15T12:18:32+0400
C/C++ Developer,,,,Москва,2006-04-11T12:08:26+0400
Программист 1С,,,,Московская область - Запад,2006-10-04T12:47:36+0400
Mенеджер по продаже рекламы (Web Media Sales),1000.0,1500.0,USD,Москва,2006-10-23T09:07:09+0400
Инженер-проектировщик систем безопасности,1000.0,,USD,Москва,2006-07-14T17:45:06+0400
Systems Engineer /Pre-sales Engineer Cisco ПФО (RT-1774-C-PFO),3000.0,4000.0,USD,Нижний Новгород,2006-09-11T11:43:51+0400
МЕНЕДЖЕРА  КОРПОРАТИВНЫХ ПРОДАЖ И ДИСТРИБУЦИИ,23.0,42.0,USD,Киев,2006-08-21T17:55:36+0400
XSLT/HTML/Javascript разработчик,,,,Москва,2006-03-10T09:42:05+0300
Специалист  технической  поддержки клиентов и сопровождения ПО,,800.0,USD,Москва,2006-05-26T09:52:08+0400
Директор по IT,2500.0,3000.0,USD,Москва,2006-05-30T14:31:26+0400
Java Server Side Sr Developer,1600.0,2000.0,USD,Москва,2006-06-14T18:57:24+0400
Оператор 1С,500.0,700.0,USD,Москва,2006-06-15T11:51:39+0400
"Консультант mySAP ERP (модули FI, CO, FM)",,,,Москва,2006-07-19T09:33:07+0400
Инженер,600.0,750.0,USD,Москва,2006-06-19T13:33:22+0400
"Консультант SAP R3 (ММ, SD)",3000.0,4000.0,USD,Москва,2006-07-25T12:26:04+0400
Консультант 1С,,,,Россия,2006-11-08T15:55:35+0300
Бизнес- аналитик,,,,Москва,2006-09-08T10:32:36+0400
Системный аналитик (IK-I-SA),2000.0,3000.0,USD,Москва,2006-05-15T19:25:05+0400
Специалист по обучению и поддержке пользователей,800.0,1000.0,USD,Москва,2006-07-12T15:20:29+0400
МЕНЕДЖЕР   ПРОЕКТА,,1500.0,USD,Москва,2006-07-13T11:03:12+0400
Администратор сайтов (начальный уровень),,,,Москва,2006-09-21T11:29:13+0400
Специалист по технической поддержке,,,,Москва,2006-08-03T14:23:38+0400
Системный администратор,1000.0,1200.0,USD,Москва,2006-08-08T15:05:13+0400
Сетевой Администратор,,2000.0,USD,Москва,2006-09-13T15:56:37+0400
Sales Manager,,,,Москва,2006-10-24T13:45:43+0400
Software Tester,,,,Киев,2006-12-11T03:23:46+0300
Руководитель отдела сопровождения 1С,,,,Москва,2006-11-14T16:55:28+0300
Специалист по системам передачи данных,,,,Москва,2006-11-15T19:15:03+0300
Программист в Банк,,,,Ростов-на-Дону,2007-01-15T11:59:38+0300
Менеджер по продажам Microsoft ПО,,,,Новосибирск,2007-12-04T17:54:23+0300
Специалист по РРЭМ,2000.0,,USD,Москва,2007-12-07T11:33:50+0300
Старший системный администратор,2000.0,2500.0,USD,Москва,2007-07-18T11:18:33+0400
Специалист по внедрению (руководитель группы),,,,Москва,2007-12-03T13:09:14+0300
Support Consultant,,,,Москва,2007-03-26T19:14:45+0400
Sales & Marketing Director,,,,Москва,2007-03-28T14:05:05+0400
IT Специалист,,,,Ярославль,2007-11-21T09:17:41+0300
Cпециалист технической поддержки,999.0,9999.0,USD,Москва,2007-03-07T12:35:33+0300
Ведущий инженер (OFA+Oracle Express),3000.0,,USD,Россия,2007-05-11T11:30:33+0400
Консультант ITIL/ITSM,,,,Москва,2007-01-18T11:50:56+0300
Программист,800.0,1000.0,USD,Ростов-на-Дону,2007-10-01T14:15:51+0400
Ассистент менеджера проектов (project manager assistant).,20000.0,26000.0,RUR,Москва,2007-10-15T12:25:45+0400
Начальник Отдела параметризации,,,,Москва,2007-06-14T18:40:28+0400
Инженер КИПиА,,,,Великий Новгород,2007-06-07T14:37:32+0400
Разработчик программ регламентированной отчетности,,,,Москва,2007-06-08T16:50:59+0400
DataBase MS SQL Developer,1100.0,2800.0,USD,Киев,2007-06-11T15:12:17+0400
Старший консультант SAP по решению  mySAP CRM,3400.0,4500.0,USD,Москва,2007-02-28T17:01:11+0300
Специалист по технической поддержке клиентов,15000.0,17700.0,RUR,Нижний Новгород,2007-09-14T09:17:02+0400
Специалист по поиску и подбору персонала (IT-направление),,35000.0,RUR,Москва,2007-11-28T19:33:33+0300
Системный администратор,1100.0,,USD,Омск,2007-10-31T06:59:44+0300
Программист 1С,1700.0,,USD,Москва,2007-04-26T13:19:33+0400
IT – менеджер,600.0,700.0,USD,Самара,2007-04-30T21:55:48+0400
Консультант по внедрению MBS Axapta,,,,Москва,2007-05-02T15:07:09+0400
Руководитель консалтинговых проектов,,,,Санкт-Петербург,2007-09-12T14:39:22+0400
Руководитель группы web-разработчиков (WEB_Nsk),,,,Новосибирск,2007-03-06T13:06:39+0300
"Программист VB, SQL",,,,Москва,2007-02-08T16:53:28+0300
Руководитель проектов (внедрение продуктов SAP),,,,Москва,2007-09-04T11:59:45+0400
Ведущий инженер (Oracle),,2800.0,USD,Россия,2007-02-12T11:25:25+0300
Проектировщик-разработчик программ для автоматизации розничной торговли,,,,Москва,2007-03-05T12:35:11+0300
Технический специалист,750.0,750.0,USD,Санкт-Петербург,2007-12-17T12:53:46+0300
Администратор сайта,,1500.0,USD,Москва,2007-06-22T15:15:28+0400
Senior Consultants in the SAP Practice,,,,Москва,2007-06-23T01:58:01+0400
Менеджер по продажам,800.0,1500.0,USD,Москва,2007-05-14T13:19:38+0400
Веб-разработчик PHP.,1000.0,1500.0,USD,Москва,2007-02-20T13:37:35+0300
Программист 1с,,,,Московская область - Север,2007-03-01T18:15:43+0300
IT специалист со знанием linux (специалист по кассовым системам),,1500.0,USD,Москва,2007-02-26T09:36:39+0300
Инженер-электронщик,10000.0,25000.0,RUR,Воронеж,2007-12-12T15:56:40+0300
Менеджер по информационной безопасности,880.0,1000.0,USD,Тверь,2007-12-19T09:24:24+0300
Системный архитектор,,,,Москва,2007-11-26T10:56:56+0300
ASP-программист,16000.0,,RUR,Тверь,2007-11-27T10:26:25+0300
Инженер HelpDesk,800.0,1100.0,USD,Москва,2007-02-15T12:24:05+0300
Разработчик Oracle,,,,Россия,2007-05-02T09:27:20+0400
Undergrad Intern Technical (526038),,,,Нижний Новгород,2007-02-16T13:11:07+0300
Бизнес-аналитик,1500.0,3000.0,USD,Москва,2007-02-05T10:20:44+0300
Программист 1С,1000.0,2000.0,USD,Москва,2007-12-13T10:52:16+0300
Web-программист,1400.0,1700.0,USD,Москва,2007-10-05T10:22:45+0400
Аналитик,1200.0,1500.0,USD,Москва,2007-08-13T16:44:24+0400
PHP-программист (web-программист),2000.0,4000.0,USD,Московская область - Восток,2007-04-22T22:14:59+0400
Региональный директор (Юг),700.0,1300.0,USD,Одесса,2007-04-24T08:18:11+0400
Специалист Отдела сопровождения Операционного Управления по системе Банк-клиент,,,,Алматы,2007-11-08T12:05:36+0300
Функциональный специалист на проект внедрения OEBS (Финансы),2000.0,4500.0,USD,Москва,2007-09-10T18:43:10+0400
Продакт-менеджер по структурированным кабельным системам,35000.0,,RUR,Москва,2007-09-24T15:30:09+0400
Senior Database Developer,,,,Санкт-Петербург,2007-10-09T11:28:51+0400
Администратор корпоративного портала,,,,Москва,2007-09-21T10:35:30+0400
Главный/ведущий специалист по сопровождению банковских информационных систем,,,,Москва,2007-09-13T13:59:37+0400
Программист,1600.0,2000.0,USD,Санкт-Петербург,2007-12-27T16:01:57+0300
"Прикладной администратор, специалист по эксплуатации и сопровождению сервисов",,,,Новосибирск,2007-10-03T11:20:10+0400
Менеджер по продажам ПО,,,,Москва,2007-10-23T14:55:16+0400
Инженер в телеком (RAN),,,,Москва,2007-10-05T12:19:30+0400
IT специалист,350.0,500.0,USD,Ростов-на-Дону,2007-06-15T14:24:01+0400
Программист-разработчик,,,,Москва,2007-07-03T12:43:35+0400
Прикладной программист,,,,Самара,2007-06-19T10:32:02+0400
C/C++ программист под Linux,,,,Москва,2007-07-02T20:18:57+0400
Программист 1С,25000.0,35000.0,RUR,Санкт-Петербург,2007-08-29T16:43:45+0400
Ведущий специалист по поддержке прикладных систем на трейдинг,2000.0,5000.0,USD,Москва,2007-07-06T11:42:49+0400
Программист 1С,,,,Москва,2007-07-06T17:55:40+0400
"Программист, руководитель call center",1000.0,,USD,Москва,2007-08-09T09:40:57+0400
Веб-программист,13000.0,,RUR,Краснодар,2007-10-23T18:21:26+0400
Инженер HelpDesk,800.0,1000.0,USD,Москва,2007-01-16T14:39:35+0300
Менеджер по продажам,1000.0,1500.0,USD,Москва,2007-02-05T11:35:27+0300
"Начальник отдела управления эффективностью работы (вакансия БЛМ-Консорт, код позиции - ST)",4000.0,6000.0,USD,Москва,2007-01-19T19:42:09+0300
Java-программист,,,,Санкт-Петербург,2007-07-13T18:37:03+0400
Engineer / Billing systems,3000.0,,USD,Москва,2007-10-12T16:17:12+0400
Системный администратор,,1500.0,USD,Москва,2007-10-16T09:16:38+0400
Системный архитектор,,,,Киев,2007-04-23T17:18:51+0400
Специалист службы информационной безопасности,,,,Москва,2007-06-26T09:35:54+0400
Wap-мастер,,,,Москва,2007-06-29T21:20:53+0400
Ведущий web. разработчик (.net),,,,Москва,2007-08-01T18:43:40+0400
Ведущий инженер программист java,1800.0,,USD,Новосибирск,2007-08-02T15:06:35+0400
Инженер по планированию трансмиссии (Transmission engineer),,,,Омск,2007-09-03T11:21:26+0400
Тестировщик ПО,20000.0,26000.0,RUR,Москва,2007-08-07T10:18:37+0400
Инженер-консультант (решения телефонии / сетевые решения),,,,Киев,2007-11-19T17:04:39+0300
"Менеджер по операционному мониторингу (BLM Consort, SI )",2400.0,3000.0,USD,Москва,2007-08-16T15:04:46+0400
Редактор,,,,Москва,2007-08-28T18:11:11+0400
Контент-менеджер,30000.0,,RUR,Москва,2007-08-20T10:59:40+0400
Менеджер проектов по методологии и развитию бизнес-процессов,3500.0,,USD,Москва,2007-10-24T18:54:44+0400
Оптимизатор,350.0,1500.0,USD,Санкт-Петербург,2007-04-06T14:58:54+0400
Инженер-системотехник по верификации микропроц.,,,,Нижний Новгород,2007-06-29T10:58:47+0400
Инженер-проектировщик СКС,1350.0,1500.0,USD,Москва,2007-07-02T09:42:10+0400
Специалист службы поддержки 1С,,,,Москва,2007-04-11T11:47:33+0400
"Helpdesk (вакансия от ""A-Class"")",1000.0,1300.0,USD,Москва,2007-03-14T16:25:54+0300
Директор продаж,,,,Москва,2007-03-14T19:52:46+0300
Программист 1С с опытом работы,,1000.0,USD,Нижний Новгород,2007-05-18T17:46:46+0400
CW/BTS/Transmission Supervisor,,,,Алматы,2007-05-22T07:23:18+0400
Инженер IT,12000.0,15000.0,RUR,Белгород,2007-12-03T10:50:43+0300
Инженер Отдела эксплуатации транспортной сети,,,,Москва,2007-11-06T18:37:01+0300
Программист,,,,Киев,2007-12-12T15:29:26+0300
Специалист по информационной безопасности,,,,Санкт-Петербург,2007-09-21T20:25:23+0400
PHP – разработчик,600.0,1200.0,USD,Санкт-Петербург,2007-09-24T21:27:45+0400
Ведущий инженер - программист отдела сопровождения автоматизированных банковских систем,,,,Киев,2007-01-22T17:57:57+0300
Ведущий программист Delphi,2100.0,2300.0,USD,Москва,2007-04-20T10:38:55+0400
Специалист по работе с клиентами,200.0,800.0,USD,Воронеж,2007-01-23T12:15:31+0300
Технический писатель,560.0,720.0,USD,Москва,2007-01-24T08:39:27+0300
"Системный администратор (Windows, MS Exchange Server, AD)",,,,Москва,2007-04-06T11:22:18+0400
Сетевой администратор,1500.0,,USD,Москва,2007-02-05T19:04:59+0300
Старший инженер BSC / Сектор Core Network/  ICT,,,,Алматы,2007-01-25T06:56:16+0300
Системный администратор (Windows),,,,Москва,2007-02-05T17:50:41+0300
Главный инженер (Product Manager),,,,Москва,2007-02-05T15:35:28+0300
Менеджер по управлению телекоммуникационными проектами,1500.0,2000.0,USD,Москва,2007-02-06T14:24:00+0300
PHP Developer,850.0,,USD,Новосибирск,2007-06-28T13:06:33+0400
"SAP Business information consultant ( SD,MM)",2500.0,3200.0,USD,Санкт-Петербург,2007-09-03T18:00:59+0400
Программист Visual FoxPro 7.0 -8.0,1000.0,1700.0,USD,Москва,2007-09-04T14:01:31+0400
Разработчик на С++,2500.0,3000.0,USD,Москва,2007-09-04T18:34:27+0400
Верстальщик,24000.0,30000.0,RUR,Москва,2007-10-02T12:36:19+0400
Системный аналитик по web приложениям и технологиям,,,,Москва,2007-09-06T12:20:18+0400
Программист,500.0,850.0,USD,Воронеж,2007-05-29T16:36:38+0400
Системный администратор,2000.0,3000.0,USD,Москва,2007-05-29T22:33:49+0400
Web дизайнер в CNews,,,,Москва,2007-01-16T16:30:46+0300
Инженер наладчик допечатного оборудования,1000.0,2000.0,USD,Москва,2007-01-10T11:56:20+0300
Продукт-менеджер,,,,Москва,2007-06-05T10:34:17+0400
Руководитель направления Java EE (Java EE Practice Lead for Application Technology Centre of Excellence),2000.0,,USD,Нижний Новгород,2007-05-31T10:51:16+0400
Руководитель направления Retail,2000.0,,USD,Ульяновск,2007-05-31T11:27:08+0400
Программист JAVA,2000.0,2900.0,USD,Москва,2007-06-26T10:34:30+0400
Specialist of regional IT services development (IT специалист),,,,Москва,2007-05-31T18:01:41+0400
Ведущий специалист отдела обслуживания POS-терминалов,1000.0,,USD,Москва,2007-02-28T11:52:17+0300
"Аналитик-тестировщик, специалист в области ИТ",,,,Москва,2007-02-28T13:08:41+0300
Администратор баз данных,,,,Москва,2007-05-08T09:29:00+0400
Программист PHP,250.0,300.0,USD,Казань,2007-03-01T17:36:05+0300
Менеджер по продажам решений Microsoft,750.0,2000.0,USD,Санкт-Петербург,2007-04-03T21:04:39+0400
"Java Developer (Lviv, Rivne, Ivano-Frankivsk, Dnipropetrovsk)",,,,Ивано-Франковск,2007-04-10T14:19:09+0400
Менеджер по трафику (по работе с операторами связи),,,,Москва,2007-11-14T10:21:22+0300
Software Development Engineer,,,,Москва,2007-11-14T10:38:49+0300
Localisation Software Development engineer (in Dublin),,,,Харьков,2007-02-05T10:30:44+0300
Программист под операционную систему Palm,,2500.0,USD,Москва,2007-02-26T14:11:31+0300
PRODUCT MANAGER,,,,Москва,2007-10-08T18:13:21+0400
Специалист по внедрению SAP,,,,Москва,2007-11-07T10:02:21+0300
Специалист по IP,1600.0,2100.0,USD,Москва,2007-10-09T10:48:19+0400
Application Engineer,1500.0,2500.0,USD,Санкт-Петербург,2007-10-17T09:58:17+0400
Менеджер по продажам Microsoft ПО,,,,Москва,2007-11-28T16:34:32+0300
Enterprise Program Manager,,,,Москва,2007-11-07T13:44:22+0300
Менеджер по работе с операторами связи,35000.0,45000.0,RUR,Москва,2008-10-07T17:35:19+0400
Специалист службы техподдержки,,,,Ижевск,2008-10-13T10:12:55+0400
Разработчик передающих устройств,45000.0,75000.0,RUR,Москва,2008-10-13T12:03:24+0400
Аналитик,34800.0,,RUR,Москва,2008-04-04T10:22:49+0400
ИТ менеджер,,,,Москва,2008-10-29T17:02:17+0300
Программист 1С 7.7.,30000.0,,RUR,Краснодар,2008-11-27T10:55:31+0300
Менеджер для поиска и привлечения клиентов,500.0,1500.0,USD,Улан-Удэ,2008-10-30T18:04:36+0300
Менеджер по продажам телеком оборудования,1000.0,2000.0,USD,Москва,2008-11-05T10:45:05+0300
Программист WMS,65000.0,,RUR,Москва,2008-11-06T11:32:43+0300
Специалист в группу поддержки клиентов,12000.0,18000.0,RUR,Нижний Новгород,2008-03-13T16:32:32+0300
"Руководитель ИТ подразделения (Выхино, Люберцы, Жулебино)",50000.0,,RUR,Москва,2008-05-19T12:38:37+0400
Руководитель отдела продаж,1500.0,2500.0,USD,Москва,2008-03-14T09:22:08+0300
Инженер по внедрению программного обеспечения,20000.0,40000.0,RUR,Санкт-Петербург,2008-09-09T11:26:46+0400
Стажер-программист С/С++,25000.0,33000.0,RUR,Москва,2008-11-05T19:21:11+0300
Ведущий специалист Отдела администрирования баз данных,,,,Москва,2008-07-28T09:14:50+0400
Продавец-консультант,12000.0,25000.0,RUR,Воронеж,2008-06-25T14:29:25+0400
Project Manager,,,,Киев,2008-06-25T18:40:30+0400
Application Developer C# .Net*(#552131),,,,Нижний Новгород,2008-06-26T13:07:01+0400
Менеджер по развитию бизнеса (г.Краснодар),17000.0,28000.0,RUR,Краснодар,2008-06-26T14:40:21+0400
Разработчик K2.NET,2000.0,,USD,Москва,2008-04-21T10:51:25+0400
Программист (С++),1500.0,2000.0,USD,Киев,2008-06-27T18:34:08+0400
Преподаватель краткосрочных компьютерных курсов по направлениюInternet-технологий,18000.0,25000.0,RUR,Санкт-Петербург,2008-04-23T10:19:58+0400
Специалист Технического отдела Sybase (Optional BI),,,,Киев,2008-06-05T12:58:59+0400
Программист 1С,,,,Санкт-Петербург,2008-09-08T11:12:02+0400
Главный специалист отдела скоринга (ВТБ24),,,,Москва,2008-06-06T12:16:02+0400
Программист микроконтроллеров,25000.0,35000.0,RUR,Москва,2008-06-09T11:40:25+0400
Специалист отдела эксплуатации ЛКС,,,,Москва,2008-04-08T16:59:14+0400
Системный инженер (решения IPTV и другие мультимедийные решения),,2200.0,USD,Москва,2008-04-01T12:53:54+0400
Разработчик (applications),,,,Москва,2008-04-01T16:08:50+0400
IS Coordinator (Business Analyst),2000.0,2900.0,USD,Санкт-Петербург,2008-04-02T13:23:50+0400
Ведущий инженер группы информационных технологий,600.0,,USD,Кемерово,2008-04-02T15:52:28+0400
Системный администратор,25000.0,,RUR,Пермь,2008-09-08T13:06:07+0400
Главный специалист дирекции информационного обеспечения,70000.0,100000.0,RUR,Москва,2008-09-01T16:26:44+0400
